,날짜,기업명,"긍정1,부정2",정제된 내용,score
2568,2023-02-01,AP위성,1,원 매수했는데 불안하네 상한가 가겠죠,79.681
2569,2023-02-07,AP위성,1,떡상스님이다 우주섹터 강의한다 응 적정가 원,65.55000000000001
2570,2023-02-07,AP위성,1,나만 신인가 개미가 다나가고 기관이 다들어왔는데,26.631
2571,2023-02-03,AP위성,2,뽀드득 형님들 계좌 설거지중,33.597
2572,2023-02-02,AP위성,1,무조건상 상이다,85.94
2573,2023-02-01,AP위성,1,오래 기다렸다 몇년만에 물들어왔을때 상한번치자,84.163
2574,2023-02-02,AP위성,1,형들 한양디지텍좀 데려가요 형들 상가고 우리도 같이가자,83.26400000000001
2575,2023-02-06,AP위성,1,언제 갈지는 모르겠는데 였나 찍는 예지몽 꿨습니다 매수 하시죠 이 글은 성지가 됩니다,46.584
2576,2023-02-01,AP위성,1,옵티코어나 담아놔 내일 크게 먹어 상닫은거 군침흘리지말고,86.018
2577,2023-02-03,AP위성,2,버팁시다 혼자죽을순 없죠,18.294
2578,2023-02-03,AP위성,2,어제 발언 취소한다 위성 추락한거같다 조졌네,11.436
2579,2023-02-03,AP위성,2,그지 한테 잘못걸렸네,10.034
2580,2023-02-07,AP위성,1,내일 상승이죠,86.12100000000001
2581,2023-02-01,AP위성,2,개인 물량 많이도 털었네 대단하다,23.574
2582,2023-02-03,AP위성,2,하나만 알려줄게 여기서 털리면 개 등신인거알지,28.069
2583,2023-02-01,AP위성,1,기타법인 매수 제일좋은거다,82.149
2584,2023-02-01,AP위성,1,대에서 넘어가긋네그래도 간다,80.97900000000001
2585,2023-02-09,AP위성,2,퍼를 꼬라박아버리네 뭔 코인이냐,9.962
2586,2023-02-02,AP위성,2,지키는기 어딨니 이탈하는 차트인데,35.50299999999999
2587,2023-02-01,AP위성,1,상한가 나이따,86.104
2588,2023-02-06,AP위성,1,원에 내 물량 가져가준 애 고맙다 이번주 기분 좋게 시작하네 훠훠훠,84.427
2589,2023-02-02,AP위성,1,참 마이 올랐다 실적도 읍는게 이거이 주식 진면목이네,26.073
2590,2023-02-06,AP위성,2,쩜상쩜상 거리건 찬티들 어데감,16.68
2591,2023-02-06,AP위성,2,오늘의 고가 원 이상에서 매수하신 주주분들은 정말로 존나게 짜증나겠다 그쵸,16.499000000000002
2592,2023-02-06,AP위성,1,좋은종목을 팔았다 신발끈 풀렸다 신발끈 아 신발끈,43.244
2593,2023-02-02,AP위성,1,오늘 종가는 원 대면 좋겠어요 감사합니다,84.02900000000001
2594,2023-02-03,AP위성,1,간다 좀있다,85.306
2595,2023-02-01,AP위성,1,좋다 내일도 한번더 점상가즈아,86.78
2596,2023-02-02,AP위성,2,프매도세 장난에 견디고 상승하려하니 꽤 든든한 개투들 화이팅,82.159
2597,2023-02-02,AP위성,1,잘 먹고 갑니다 특 살 돈도 없고 다른 종목 개쳐물려있으면서 판척함,16.311
2598,2023-02-07,AP위성,1,인정할 수 밖에 없다 가 대장이다 켄코 주주인데 좀 질투나네 가 대장 맞는거 같다,25.458
2599,2023-02-01,AP위성,2,먹을게있나 외인 기관 투신 사모펀드이놈들때거지로들어왔네일단기대는해본다,32.369
2600,2023-02-01,AP위성,2,대가리로 돈벌자 주딩이는 좀 닫아라,80.605
2601,2023-02-09,AP위성,2,갈꺼면 선두 잡고 올리고 오늘 안가면,85.302
2602,2023-02-01,AP위성,1,특징주 위성 스페이스 원웹 민간 우주기업 국내 진출 예정에 강세 과기정통부는 년부터 년간 위성통신 분야에서 조 억원의 신규 매출이 증가할 것이라고 밝혔다 과기정통부가 신청한 억원 규모 저궤도 위성통신 기술개발 사업 이 예비타당성조사 단계 심사에 돌입했다 과기정통부는 통신 탑재체 본체 시스템 및 체계종합 조립 발사 운용 등 지상국 단말국 개 분야의 핵심기술 확보를 위해 년부터 년까지 년간 약 억 원 규모 예산을 신청했다 오는 월 중 사업 통과 여부가 결정될 것으로 보인다 한편 통신 및 방송장비 제조 업체인 위성은 년 세계 최초로 최소형 위성 휴대폰을 출시한 업체다 또한 수년간 다목적 실용위성사업으로 대표되는 국가 우주개발사업에 참여하고 있으며 위성 본체 체계개발과 위성탑재체 국산화 개발 등을 진행하고 있다,77.093
2603,2023-02-07,AP위성,2,빠질때 속도 봐라,18.996
2604,2023-02-03,AP위성,1,주일동안 신용이 너무 많이 붙었어 어떡해,77.818
2605,2023-02-09,AP위성,1,하 켄코아 겁나 오르네 이제 와서 어뜨케 정이 있는데 위성 화이팅,82.326
2606,2023-02-06,AP위성,1,다들 시퍼런 장에서 빨간불로 마감한것만도 다행실적은 무기실적 좋아서 주가 폭락하는 주식 있나요 내일은 본장이 보합 또는 양전 빨간불 주식 많아질것 단기 조정들 받아서 수급양호,17.118000000000002
2607,2023-02-01,AP위성,2,잘 먹었습니다 성투하세요,27.837
2608,2023-02-09,AP위성,2,오늘 아작 그리 나겠구만 개미 꼬시기의 마지막 폭포수지,10.758
2609,2023-02-02,AP위성,2,퍼에서 퍼가 내려도 찬티를하네 껄껄,9.816
2610,2023-02-03,AP위성,1,내일 투자주의 풀리는거 맞죠,69.284
2611,2023-02-07,AP위성,2,일단 원 년이상 절대 안돌아옴 개미들 바글바글,18.308
2612,2023-02-06,AP위성,1,실적 실적이 엄청좋게 공시 되었네요 낼은 상한가입니다,83.35
2613,2023-02-09,AP위성,2,아 변동성 오진다,9.6
2614,2023-02-07,AP위성,1,내일 대장 임명함 굿럭 오늘 테크 털리지말라고 쟁일얘기핸는데 많이털림 낼 마니오름 털리지마레이 굿럭,81.962
2615,2023-02-06,AP위성,2,안돼겠다 얘는,11.604
2616,2023-02-02,AP위성,1,단기과열 스팸 찍고 상승한 종목 찾아봐라 코난 솔트룩스같은 대장주 밖에없다 전세계 다 난리나고 대통령까지 나오니까 그정도 주가오르는건데 그런 주식들이 위성처럼 찍고 까지 쳐밀리디 찬티놈들 내일 개쳐맞아야지 윗꼬리 길이가 몸통 두배인데 오늘 오전에 까지 가격 분도 지지 못하고 세력이 시장가 매도로 물량 다떠넘기고 까지 내리다가 내일도 팔아먹으려고 종가관리한다고 시부터 얇은호가 매수해줘서 올랐더니 신나서 발작하네 너네나 많이사,23.988
2617,2023-02-02,AP위성,2,말했지 설거지라고 스팸과다랑단기과열 개 지정떳네 부터 시장가로 내내 물량 매도하다가 까지 팔고 분남았을때 종가관리해서 내일도 물량 넘길려고호가 얇아진거 올려줬다고 개미들 좋다고 난리가 낫지 내일도 매수해서 많이사라,26.117
2618,2023-02-09,AP위성,2,물량을 이렇게 티나게 떠넘기냐 개미탕인데 이제 아 개웃기네,9.452
2619,2023-02-01,AP위성,1,가보자 어디까지 역사 신고가 까지 달리자,86.402
2620,2023-02-03,AP위성,1,목표가 원 털리지 말자 물량 원대 다신 못본다,73.92099999999999
2621,2023-02-08,AP위성,2,왜 하락할거같지 흠,10.26
2622,2023-02-01,AP위성,2,절반 정리했다 이래도 좋고 저래도 좋고 매수한종목들 시간외 상치고 얼씨구 좋은 장이로세,47.158
2623,2023-02-07,AP위성,2,대피 아사,31.246
2624,2023-02-08,AP위성,2,에라이 쓰봉,9.838
2625,2023-02-01,AP위성,2,나로우주센터 불났다,28.982
2626,2023-02-03,AP위성,1,약속의 시 분 보면안다 그땐 못사,21.504
2627,2023-02-01,AP위성,1,내일은 들어올때 이상에서,79.8
2628,2023-02-01,AP위성,1,까지밖에안풀렸네 다행이다 보통풀리고쭉빠지는데,76.996
2629,2023-02-02,AP위성,1,월달까지 장투 오르락 내리락 하다어느새 만원대는 가겠지요,34.836
2630,2023-02-08,AP위성,1,와 내가 파니까 올라가냐 기분 나쁘게,83.989
2631,2023-02-06,AP위성,2,수익 고점 매도 잘 먹고 갑니다 조정 받으면 다시 입성예정,36.113
2632,2023-02-02,AP위성,2,거래매동 보믄 개미만다털림 까지 무난,29.716
2633,2023-02-01,AP위성,2,헐 건너띄고바로 대박난 땡큐 적금탔으니 빠이,77.621
2634,2023-02-09,AP위성,2,씨바 장난하나,11.565
2635,2023-02-01,AP위성,1,월 매집주 진행중 위성 후발일듯 했는데 먼저 쳤네요 일단 최초목표가가 원인데 내일 도달하면 일단 는 조절 켄코아에어로스페이스 거래량이 좀 작으나 원 이하에서 부터 꾸준히 매집 인성정보 원 이하에서 꾸준히 매집 소프트센 원 이하에서 꾸주히 매집 트레이닝 관련주들은 단기 저점이후 다시 트레이닝 매매진해애 솔트룩스 원 기준으로 이하와 차기 대박 리스트는 알체라는 지속 관련주 오늘 금요일 사이 다시 트레이닝 매집 솔트룩스 알체라 비트나인 오픈엣지,77.68299999999999
2636,2023-02-01,AP위성,2,폭탄조심,12.607
2637,2023-02-06,AP위성,1,낼쩜상 이제는 실적까지 받쳐쥬는구나 케,85.303
2638,2023-02-03,AP위성,1,찐 이번은 찐이다,80.295
2639,2023-02-02,AP위성,2,천만원 잘먹고갑니다 어제 시가에 사서 잘묵고 갑니다 욕심은 금물,30.582
2640,2023-02-02,AP위성,2,아직 뭔 위성이냐,18.773
2641,2023-02-01,AP위성,1,에서 못올라가는 이유 최고가 최저 물타기해서 봤을 대가 가장 많을듯,27.502
2642,2023-02-08,AP위성,1,오늘도 장 막판 올리냐 보자꾸나,81.682
2643,2023-02-08,AP위성,2,이게맞나 오늘 왜이래,13.429
2644,2023-02-07,AP위성,1,개미들 엄청 꼬였네,10.284
2645,2023-02-07,AP위성,2,기관이 들어온다 개인 나가고,38.1
2646,2023-02-02,AP위성,1,종가 원 맞춰놔라 담주부턴 불쇼다,85.24300000000001
2647,2023-02-07,AP위성,1,이제 우주에 위성없음 아무것도 못하는 시대여 국가 전략자산이라는 소리다 조정줄 때 담고 앱 년 지워라 희 비 하들 말고,25.349
2648,2023-02-02,AP위성,2,아오,22.557
2649,2023-02-02,AP위성,1,테슬라 달러 임박 스타링크 상장 임박 모아,85.364
2650,2023-02-03,AP위성,2,어제 알려줬지 오늘도 팔아먹으려고 종가관리한거라고 세력들 물량 다넘겼다 수고해라 고가 부터 까지 시장가로 매도하다가 분간 종가 관리한다고 잠깐 매수한거가지고 난리가나더라고 어제,21.117
2651,2023-02-02,AP위성,1,재무상태 좋고 배당도 나오고 유보율 이상에부채 대다 냄새가 진동하네 개미도 다 털고 로봇 다음은 이걸로 확정월봉 년봉 아름답구마,32.319
2652,2023-02-01,AP위성,2,이건 무조건 프로 내로 매도 알긋지,9.416
2653,2023-02-06,AP위성,1,오늘 매집 확실히 했네 내일 상한가다,85.723
2654,2023-02-07,AP위성,1,개미가 또 팔았네,15.314
2655,2023-02-02,AP위성,2,밑으로 다걷는다 와우 이런행운이 잘묵을게,14.604
2656,2023-02-02,AP위성,1,사진않았지만 이연상을 축하합니다 부럽,84.065
2657,2023-02-05,AP위성,1,머스크형이 한국에 통신사 차린다는데 도지 결제 가즈아 우크라이나도 위성으로 인테넷 쓰는데 위성도 가즈아,83.09299999999999
2658,2023-02-01,AP위성,1,차트상 만원은 갈거로 보는데요 차트좀 보세요 모지지야,85.446
2659,2023-02-02,AP위성,2,설마 올라가지 않겠지,84.878
2660,2023-02-07,AP위성,2,원 맞춰놔라 내일보자,81.09599999999999
2661,2023-02-07,AP위성,1,장 좋구요 에 집중하자 에이피,86.026
2662,2023-02-09,AP위성,1,털었고 올라가자 가즈아 강심장 탑승해라,86.791
2663,2023-02-08,AP위성,1,하단 지지선 계속확인중인데도 개미들은 던지네 그러니까 개미지 더팔아랑,13.534
2664,2023-02-03,AP위성,1,원 끝까지 지켜낸다는게 무슨 의미인줄 알지 힌트 다줬다,84.877
2665,2023-02-09,AP위성,2,오늘 매도 못한게 한이네 넘 순식간이다,13.598
2666,2023-02-09,AP위성,2,여기 주포는 좀 싸이코같네 무서워,12.216
2667,2023-02-06,AP위성,1,이제 수급 많이 들어갑니다 보시죠 개미들 어느 정도 떨어졌으니,22.396
2668,2023-02-01,AP위성,1,스페이스 저궤도 위성 사업 테스트베드로 한국 낙점 올해 스페이스 원웹 등 해외 민간 우주기업이 국내에 상륙하고 저궤도 위성통신과 삼성전자 스마트폰 위성통신 기능 탑재 한국형 위성항법시스템 등 이슈가 어마어마해 손꾸락 조심들 하세요,69.21799999999999
2669,2023-02-06,AP위성,1,좀 기다려 색히들아 걍 하루종일 종목 언제 쳐 오르나 보고만 있나 기다리면 오를거 탔으면 걍 입 쳐닫고 다른거 하다가 오면 되지 하루종일 애새 마냥 안오른다고 징징거려 왜,78.165
2670,2023-02-01,AP위성,1,그만가라 비중 덜태웠다 개짱나네 만원대에 한번 밖에 못샀는데,76.336
2671,2023-02-01,AP위성,2,위는 꽉 찼니,77.73700000000001
2672,2023-02-06,AP위성,1,정식 공시 안내보내서 개미들 쫄았네,30.526
2673,2023-02-02,AP위성,2,단물 다빨렸는데 쳐물리뉴 단물 다빨렸는데 발라먹을게 얼마나 있다고 쳐물리십니까 개 가리 형님들 평생 깡통이나 차십쇼,12.905
2674,2023-02-07,AP위성,2,매동 기똥찬다,11.565
2675,2023-02-07,AP위성,1,개잡주가 크게 가는 거다,10.003
2676,2023-02-01,AP위성,1,이놈세다 상근,75.234
2677,2023-02-06,AP위성,2,아직 더 털어야되 개미들 빨리좀 팔아주세영,34.041999999999994
2678,2023-02-02,AP위성,2,평단 아래 잘놀다 갑니다 몇달 고생했네요 저는 이만,71.03999999999999
2679,2023-02-02,AP위성,1,대장 냐 쎄트냐 고민되네 스슬입질해보까,47.328
2680,2023-02-01,AP위성,1,우주 다음엔 수소다,71.308
2681,2023-02-02,AP위성,2,갭하락 출발 유력 아주 천천히 사도 됨,32.428999999999995
2682,2023-02-01,AP위성,1,드디어 탈출 누리호때부터 고생했는데 탈출합니다 감사합니다,84.18
2683,2023-02-07,AP위성,1,가즈아,86.319
2684,2023-02-08,AP위성,2,임원매도없는 켄코아로오세요,16.322000000000003
2685,2023-02-02,AP위성,1,원 보여주세요,83.743
2686,2023-02-01,AP위성,1,헤헤 상쳐도 원이라서 탈출실패,33.669000000000004
2687,2023-02-07,AP위성,2,하락 시그널발생 튀라,10.377
2688,2023-02-01,AP위성,1,고맙습니다 아주 오랜시간 기다렸는데 이제 시작이라고 봅니다,83.503
2689,2023-02-01,AP위성,1,이리 물량 모아놓고 상을 안칠수가 없다 시간 널럴하고 축하,75.17
2690,2023-02-02,AP위성,2,시전까지 어제 오늘 미수 물량 쏟아진다 시간외도 그럴꺼고,24.695
2691,2023-02-09,AP위성,2,원 다 털고갑니다 다들 성투,25.963
2692,2023-02-03,AP위성,2,오늘 털리면 바보탱이 단일가 거래 피하기위해 오늘은 쉬어간다,62.001
2693,2023-02-06,AP위성,2,개잡주는 확실하네 좀만 오르면 팔기바쁘다 그냥,16.592000000000002
2694,2023-02-02,AP위성,2,다시 가겟다,85.60000000000001
2695,2023-02-08,AP위성,1,떡상스님이다 위성 강의들어간다 응 손절해 이건 아니야,26.692
2696,2023-02-01,AP위성,2,에 사서 엄청 오래 쳐물렸는데 오늘 다 쳐분완료 미련없습니다다들 성투하세요,24.221
2697,2023-02-06,AP위성,2,매도했다 이런잡주 다신 안본다 쓰레기도아니고,9.309
2698,2023-02-06,AP위성,1,화요일 전고점치고 우주로날아가겟다 원 돌파다,85.668
2699,2023-02-01,AP위성,1,한글과컴퓨터 스페이스 인공위성 사업 테스트베드로 한국 낙점 스페이스 인공 위성 사업 테스트베드로 한국 낙점 일론 머스크의 민간 우주기업 스페이스 가 국내에 저궤도 위성통신 서비스 스타링크 를 출시할 전망이다 한글과컴퓨터 스타링크 우주항공대세간다 현금으로 모아가라 이승훈 투자증권 연구원은 한글과컴퓨터의 한컴 매각 대금은 글로벌 서비스형 소프트웨어 우주 사업 및 데이터 기반 서비스사업 관련 투자와 인수에 활용할 예정 이라며 인공위성 메타버스 아마존 등 신사업이 본격화될 것으로 전망 이라고 분석했다 한글과컴퓨터그룹이 지난 월 발표한 국내 첫 지구 관측용 민간위성 세종 호 가 년 월 일 미국 플로리다주 케이프 캐너버럴 우주센터에서 발사됐다 한컴그룹 우주 항공 계열사 한컴인스페이스는 미국의 민간우주기업 스페이스 와 세종 호 발사 계약을 체결했다고 밝혔다,80.076
2700,2023-02-01,AP위성,1,대구조 오면 탈출,84.12100000000001
2701,2023-02-03,AP위성,2,주포 놀고 있어요 정전되라 얍,12.958
2702,2023-02-02,AP위성,1,난 안팔아 안팔꺼야 주포랑 같이 갈거야,56.482
2703,2023-02-02,AP위성,1,우리나라는 인터넷 강국이라 위성은 어떨지 기대되네요인터넷보다 빠르면 대박나는거겠죠빠를거같진 않지만,82.767
2704,2023-02-07,AP위성,1,여기에 물리면 복입니다 시간은 주주 편입니다,31.533
2705,2023-02-06,AP위성,2,장막판 퐁낙주의,14.759
2706,2023-02-08,AP위성,2,자 일선 무너지면 층 보는구 알제 나이따 그때 매수해도 안늦데이,24.905
2707,2023-02-02,AP위성,1,얼마나 갈라고 굿굿,83.646
2708,2023-02-03,AP위성,2,제발 정전되라 부탁이다 정신차리지,21.902
2709,2023-02-06,AP위성,1,기관이 세력이면 투경을 피해서 가는듯 내일은 오르겠지,76.96
2710,2023-02-02,AP위성,2,아이씨 물렸네 아씨진짜,10.551
2711,2023-02-01,AP위성,1,내일이 기대가 된다 훗,86.42
2712,2023-02-01,AP위성,1,위에 매물대 다 받으면서 가네 상안쳐도 퍼센트쯤 마무리하고 길게가자,85.273
2713,2023-02-01,AP위성,1,우주 항공붙었네 대장,27.851
2714,2023-02-01,AP위성,1,지금도 너무 싸다 단타 치지말고 들고가라 누리호 발사전 까지장투가 답,49.601
2715,2023-02-07,AP위성,2,방 못 가네 골로간다 빠밤,30.673
2716,2023-02-03,AP위성,2,쓰윽 빼겟지,11.424
2717,2023-02-08,NAVER,1,나스닥 폭등했다 네이버 폭등각 또 나오네저점 못잡은 질투충들 또 배아파서 온갖 악담 퍼붓겠노,80.509
2718,2023-02-03,NAVER,2,지켜보자 어차피 세력들이 움직일꺼고 변동이 심할수도 실적발표 명분이 있고 어제 놈들 대량매도한것 꺼림직하지만 시장은 항상 생각대로 움직이지 않으니 양봉세웠음 좋겟다 에혀,53.334
2719,2023-02-03,NAVER,1,오늘 이상 갈듯 다들 그리 생각하노 이정도면 신규 진입은 조시 떨려서 진입 못하쥐라,30.018
2720,2023-02-03,NAVER,1,한국의 구글 몇년뒤면 배이상 갈듯,85.01100000000001
2721,2023-02-09,NAVER,1,경쟁자 하락으로 네이버 수혜 항상 주식은 역발상 경쟁자하락으로 네이버 서치 기대감에 대한 기대감 더욱 고조 오늘 네이버 더오를것 같은생각입니다,71.11200000000001
2722,2023-02-03,NAVER,1,내 개인 목표가 상향 만원서 만원으로 목표가 상향,85.37400000000001
2723,2023-02-02,NAVER,1,원뚫으면 만원까진 매물벽이 아예없는듯,82.855
2724,2023-02-09,NAVER,1,곧 빨간불 뜨것네 장난아냐,55.751
2725,2023-02-03,NAVER,1,네이버 화이팅 오늘 네이버가 등이다 상한가 쭉쭉 가보자 오늘때 추가 매수합시다,86.768
2726,2023-02-03,NAVER,1,가다마누 난 거래량을 믿는다,84.041
2727,2023-02-03,NAVER,1,오늘 마감하자 달려랏 이 얏호,84.86200000000001
2728,2023-02-09,NAVER,1,주 추가매수 했습니다 원에 년가보상비 받은거 하고 성과상여금 다 털어넣었네요 우리나라에서 살만한 주식은 네이버 밖에 없다고 믿어요,76.86999999999999
2729,2023-02-08,NAVER,1,까진 무난하겠네 그래도 까지간다면 하락폭은 적을듯하오 계속 오르기만하는 주식은없으니거기까지간다면 든든한 땅을밟고 위를 바라볼수 잇잔소,32.483000000000004
2730,2023-02-07,NAVER,1,만원가면 딱 수익 진입하네 절대 네버 영원히 안팔거임 메롱 난 한번 물면 절대로 안놔,84.09700000000001
2731,2023-02-08,NAVER,2,차전지엔켐급등전기차판매급증가엔켐상승초입 네이버협력사엔켐 상승초입엔켐전기차판매급증가 차전지실적사상최대엔켐실적급성장 차전지 엔켐 글로벌 수주 확대 올해 매출 세자릿수 성장 달성 차전지 엔켐 올해 글로벌 수주 확대 연간 매출액 세자릿수 성장률 달성 실적사상최대 차전지엔켐외국인연속매수엔켐실적급성장 테네시주 배터리소재 벨트,76.857
2732,2023-02-08,NAVER,1,억만벌자 억추매,86.669
2733,2023-02-03,NAVER,2,평단 형이다 충고하나 한다 오늘 어느정도 먹었으면 빨리 탈출해라 안그럼 월욜부터 형꼴난다 충고했다 형 원망하지마라 탈출한넘은 고맙다고 댓글이나 하나씩 달고 알았지,26.107
2734,2023-02-08,NAVER,1,구글 마이크로소프트보다 밸류가비싸져서 부담스럽니다 난 이만 갈란다더올라가도 님들 다드쇼,63.098
2735,2023-02-06,NAVER,1,만원온다 이건 개소리고 잘해봤자 여기있는갭 정도 매우는정도다 사고싶으면 거기서 사라 굳이 이거말고 좋은거 많지만 사고싶으면 거기서는 나쁘진않다,63.098
2736,2023-02-06,NAVER,2,만원 되면 다시 오께 잘 버텨,84.335
2737,2023-02-03,NAVER,2,비중 일부 축소하세요 단기 고점입니다,24.819
2738,2023-02-09,NAVER,1,진짜 놀랍다 박수를,83.431
2739,2023-02-01,NAVER,2,어 갑뿐사 개미털기 개미들 꼬시다가 갑자기 개미 털기가 나오네 뭐지,10.205
2740,2023-02-08,NAVER,1,누가 내 계좌 들여다보냐 년 넘게 물려있던거 어제 리스크 관리할려고 손해보고 분의 정도 덜어냈더니 귀신같이 받아먹고 더 올리네,59.891
2741,2023-02-09,NAVER,1,약속의 시간이 다가온다 시,82.476
2742,2023-02-03,NAVER,2,큰일났네오늘 네이버 발동각 너무 폭등해버리면 안되는데 큰일이다,79.092
2743,2023-02-08,NAVER,1,챠트 좋다 딴데 물렸다,57.278
2744,2023-02-09,NAVER,2,외인기관프로그램 던진다 지금 매수는 자폭하는거,28.518
2745,2023-02-08,NAVER,1,네이버 박뚜,83.6
2746,2023-02-03,NAVER,1,네이버 미친김에 상가자아님말고,85.612
2747,2023-02-03,NAVER,2,저도 탈출 성공 감사,83.67500000000001
2748,2023-02-01,NAVER,1,빨리 빨리 올라가자 오늘은 상가 한번 가자 오늘은 말이 필요 없다 상한가 한번 하자 더 이상 악재는 없다 오늘은 상한가로 가자,86.56099999999999
2749,2023-02-09,NAVER,1,이건 개인이 아니라 세력이다 개인 만주가 개미인거같지 세력 입성한거다 앞으로 금일 저가 미만으로 안빠지면 계속 홀딩 추천한다 이상,80.595
2750,2023-02-03,NAVER,2,실적 영업이익 폭망이네,12.089
2751,2023-02-07,NAVER,2,개미들만 열심히 사는구나당분간 오르기 힘들것다,72.545
2752,2023-02-06,NAVER,1,개인 만주 많이도 샀다 외인들꺼 다받았네,82.827
2753,2023-02-03,NAVER,1,에 매도하고 땅을쳤는데 개이득인건가,10.926
2754,2023-02-08,NAVER,1,평단 층 월 전까지 올까요 탈출 하고싶어요,81.285
2755,2023-02-08,NAVER,1,내가 그랬죠 거래량 실린 장대양봉 이후 조만간 급상승이라고 그동안 두세번의 기회는 준다고,83.873
2756,2023-02-08,NAVER,1,아싸 네이버 하늘을 날아간다 날아가 상한가 출발한다 안전벨트 잘 매고 있어라 떨어지지 말고 상한가 출발 네이버 화이팅,81.771
2757,2023-02-08,NAVER,1,여기 만원대에 산 사람 있지 댓글 좀 달아줘라 지난번 보니까 평단 도 있던데 내가 평단 이라니까 사람들이 안 믿는다,50.603
2758,2023-02-08,NAVER,1,평단 층 저는 물타서 평단 천원 만들고 절반 덜어내고 절반 가지고 있어요,66.68599999999999
2759,2023-02-02,NAVER,1,오늘 기대 최소 최대 까지만,84.919
2760,2023-02-03,NAVER,1,수익 달달 하노 만 주 만원에 하차 예정 개꿀,74.232
2761,2023-02-08,NAVER,2,코스피 간다 월 일 현재 코스피 좋든싫든 코스피는 터치하러 함 내려갈것이고 그때 네이버뿐만 아니라 거의 모든 종목들이 폭락하겠지 그때가 바로 매수타이밍이다 기다리는것도 투자다 오늘은 일단 익절하고 나간다 때가오면 내말이 또 맞구나 할거다 지난 년간 위아래 지수 방향성 적중률 아는사람들은 나를 알거다 어쨌든 는 개미무덤이 보인다 이 공매도놈들은 최대한 개미들을 탑승시킨후 밑으로 끌어내려서 손절 유도할거다 보면 알어 이상,23.079
2762,2023-02-08,NAVER,1,평단적고가자 층살아잇다,81.78200000000001
2763,2023-02-02,NAVER,1,참 바보들이 많구나 지금 가격에 던지고 자랑질 만원대에서도 그런 애들있었지 만원 못 넘는다고 만뮌대 팔고 자랑질,24.026
2764,2023-02-03,NAVER,1,억몰빵 카자 시파 프로만 먹고 빠질께,84.165
2765,2023-02-03,NAVER,2,여기 까지 인가 빡,81.973
2766,2023-02-03,NAVER,1,오늘 매수시 넉달만에 가장 비싼매수 젤비싸게 사즈아,86.312
2767,2023-02-09,NAVER,1,힘 좋다 솔직히 오늘 까진 각오하고있었는데 이러면 또 다르지,73.613
2768,2023-02-02,NAVER,1,만 구조하러 올듯하더니 다시 카오는 훨훨난다 카오랑 키맞추려면 지금 최소 만은 가야된다,82.29899999999999
2769,2023-02-06,NAVER,1,네이버 하루오르고 하루내리는데 그새 저점 매수 못해버릴정도로 올라가버립니다 지금이 제일싸다,82.22200000000001
2770,2023-02-08,NAVER,1,네이버 주주는 호구가 아니다 돈버는 만큼 봉급을 책정해야지주가는 하락하였는데 임직원 봉급은 어마어마 하게 주는 회사 을 보면 내가 왜 층도 높다는 것을 다 알고 있을듯 봐서는 층이 적당한 위치가 아닌가 생각이 든다하지만 그래도 층 정도면 개미들 매수세가 붙을까봐 층에서 만나자고 하는 것이다주주가 더 이상 임직원 한테 돈 대주는 호구가 아니란걸 보여 줘야 한다,25.456
2771,2023-02-05,NAVER,1,낼뭐 일시적으론 하락이어도 결국 는 무난 걱정들 마셔,24.772
2772,2023-02-09,NAVER,1,자 말아올리자 가즈아 아직 갈길 멀었다,83.68400000000001
2773,2023-02-01,NAVER,1,층 옵니까 그냥 떠날까요,22.533
2774,2023-02-06,NAVER,2,더 떨어져봐 계속 산다,10.421
2775,2023-02-03,NAVER,1,네이버 링네트 네이버 서치 링네트링네트와 협업해 만든 네이버 플랫폼 클로바 통해 제공,84.842
2776,2023-02-06,NAVER,2,내려온나 마넌에서 아가리 쩍,16.599
2777,2023-02-08,NAVER,1,달리는말에들 타세요 얼릉 고수님들은 내리때되셨네요,48.291
2778,2023-02-08,NAVER,1,네이브 올 연말쯤 만갔니다,85.422
2779,2023-02-06,NAVER,2,만원 아래 오나 그때 가면 다시 매수 시작해야겠다,77.756
2780,2023-02-01,NAVER,1,팍팍팍 올라가자 뜸들이지 말고 빨리 빨리 상한가로 가자,86.85
2781,2023-02-06,NAVER,2,목표가 만원 목표가는 절대 도달하기 어려운 가격대인데 고도화에 따른 주가 차별화 진행될 시기 메리츠 목표가 만원 제시 메리츠,47.624
2782,2023-02-07,NAVER,1,평단 만 아래로 잡은분들은 운이 좋습니다 버티고 버티시면 좋은 결과 있을겁니다,82.068
2783,2023-02-08,NAVER,1,만 더 올라야 내평단,86.235
2784,2023-02-08,NAVER,2,불나방들 얘네들은 항상 과거를 쉽게 잊는다,13.09
2785,2023-02-02,NAVER,2,카카오 따까리가 아니고 카카오는 말이야 바로해야지 네이버가 카카오 따까리가 아니고 카카오가 네이버 따까리라 해야 맞는것 처럼 보입니다 카카오란 기업을 폄하할려고 그런것은 아니고 다만 네이버에 비하면 그렇다는 얘기입니다 나는 소액이지만 둘다 다 보유하고 있습니다 물론 비중은 네이버가 훨씬 많습니다,21.86
