,날짜,기업명,정제된 댓글,상승_하락
1704,2023-02-09,SK하이닉스,금일 외국인 순매수 위 오후장 반등갈까,-1
1705,2023-02-09,SK하이닉스,만원 깨지면 들어가야겠다,-1
1706,2023-02-09,SK하이닉스,만원 깨지면 또 만원에 보자다음달 까지 잘싸워라,-1
1707,2023-02-09,SK하이닉스,바겐세일 만 열차 출발하기전에 마지막 기회이니 늦지않게 탑승하시기 바랍니다,-1
1708,2023-02-09,SK하이닉스,어제 풀매도한 개인 인 진짜 개맛있네 소고기 사먹어야지,-1
1709,2023-02-09,SK하이닉스,어제 풀매도한 개인 인 등 쒜키,-1
1710,2023-02-09,SK하이닉스,마의 절대 뚫지를 못하네 지겹다 지겨워,-1
1711,2023-02-09,SK하이닉스,내가 공매 쳤으니 연 상 가겠다,-1
1712,2023-02-09,SK하이닉스,오늘은 매수하는날,-1
1713,2023-02-09,SK하이닉스,에 종목추천 계속적으로 물어본 결과 하이닉스 추천했음,-1
1714,2023-02-09,SK하이닉스,미중시 하락 탈줄은 지능순,-1
1715,2023-02-09,SK하이닉스,중국내 범용 반도체 양산으로 반도체 수출 감소 하이닉스와 삼전 반도체 수출 위기,-1
1716,2023-02-09,SK하이닉스,과연 하락 하겠냐 개미들만 졸라 매도하고 하락 기다리는데,-1
1717,2023-02-09,SK하이닉스,겨우 몇퍼센트 등락으로 버네잃었네 한심하다 최소 프로부터 차근차근 수익실현해야지뭘 그리 사고팔고 하는지,-1
1718,2023-02-09,SK하이닉스,나스닥 차트봐서는 정도 뺄듯,-1
1719,2023-02-09,SK하이닉스,달리는 호랑이에 올라탈래,-1
1720,2023-02-09,SK하이닉스,나도 모르고 너그덜도 모르고 월 일부터 작전개시,-1
1721,2023-02-08,SK하이닉스,반도체 수요 폭발 서버에 들어가는 양이 어마어마하다는데,1
1722,2023-02-08,SK하이닉스,챗 와 회사채 덕분에 폭등 전망이 좋은 이 주식이다 목표를 정하면 들락날락하면 돈 못 먹습니다 코로나때는 한종목으로 억으로 억 만들었는데 중간에 팔수있는 유혹은 많았습니다만 포트폴리오는 믿천이 적으면 돈 못먹습니다,1
1723,2023-02-08,SK하이닉스,비나이다 내일 천원만 빼세요 비나이다,1
1724,2023-02-08,SK하이닉스,이제 폐 배터리 가야지,1
1725,2023-02-08,SK하이닉스,시간외 폭등중이네 뭔일있낟 내일 만원 갈듯,1
1726,2023-02-08,SK하이닉스,멍청한 기관 아직 까지 눈치보냐 찔끔찔끔 팔긴 그러다가 위에서 살거니 기관아재야 저러다가 다 털린다 마 외쿡오빠 따라해라잉,1
1727,2023-02-08,SK하이닉스,반도체 최고 요새 최고의 화두는 입니다 자체가 엄청난 서버 용량을 필요로 하고요 거기에는 최고의 반도체가 들어가야 됩니다 그 반도체에 가장 중심에 하이닉스가 있습니다,1
1728,2023-02-08,SK하이닉스,평단 원이다 상반기 만보고 간다,1
1729,2023-02-08,SK하이닉스,앞으로는 반도체가 주도주 반도체 설계 반도체 장비 반도체 패키징 반도체 유통 이 개공정중 반도체 장비는 중국제재로 잡음이 많으니 당분간 빼고반도체 설계 반도체 패키징 반도체 유통 이리 계단식 상승을 하며 가는 장세그간 년간 배터리주들 초거품이니 논란속에서도 미래가치 다 반영하며 가는동안반도체는 계속 눌리며 유동성장세에도 미래가치는 고사하고 실적반영도 못했고하락장에서또한 갖은 악재로 대부분 바닥에 바닥까지 떨어진 상태인데 차산업의 가장큰 수혜주는 누가뭐라해도 반도체이지수요가 배터리 배이상의 수요가 몇십년간 지속되는 분야인데 앞으로 계단식 상승하며 가다 모든 악재 하나둘씩 호재로 바뀌고 미래가치 반영하며 코로나 전고점 뚤고 전고점의 두배까지는 충분히 간다,1
1730,2023-02-08,SK하이닉스,외쿡인 만세 기관 조오 다,1
1731,2023-02-08,SK하이닉스,단타궤미 크들 어지간히도 팔아 제꼈네 오늘밤 미국시장 좋아서 하닉 내일 자 돌파해 버리면 좋겠네,1
1732,2023-02-08,SK하이닉스,이번에는 뚫을수있을까 일단 조금 팝니다,1
1733,2023-02-08,SK하이닉스,역시 외국인 자본 싼가격에 있는 한국시장을 샀네이유가 머있나현금 챙기기 좋은 시총 우량 기업사는거지,1
1734,2023-02-08,SK하이닉스,왜오르나요 오늘 오르는이유 뭔가요,1
1735,2023-02-08,SK하이닉스,평단 층인데 매도합니다 만원 수익났네요 정도 수익나면 매도하는게 제 나름의 원칙이라서 주주분들 성투하세요,1
1736,2023-02-08,SK하이닉스,너무 적게 삿다 이거는 와이리 급하게 가노,1
1737,2023-02-08,SK하이닉스,회사채 년 물량 소화 신용 좋다는것인데빚내서 성공 기원이라투자는 좋지만 이러다 훅 가면나 모른다,1
1738,2023-02-08,SK하이닉스,평단 원 아직 매도사인 안나옴 홀딩,1
1739,2023-02-08,SK하이닉스,얼렁팔고 다신오지마라,1
1740,2023-02-08,SK하이닉스,외인매수 백만주 넘었네 결국 의 위력을 우리 기관들은 전혀 감을 못잡는구나 잘 지어놓은 국산 반도체농사 외인들이 다 먹는구나 통탄스럽다,1
1741,2023-02-08,SK하이닉스,다시 샀다 원에 익절하고 만원 깨져도 손이 안가더만 판가격에 다시 사게 될줄이야 주식 참 웃긴다 여기서 다시 좀 떨어질듯 한데 맘편한게 더 낮다는 생각에 다시 들어 왔다 요 며칠 고가 매도 했다고 기분만 좋았다,1
1742,2023-02-08,SK하이닉스,전 여기서 하차 내일 윗꼬리가 고점일것 같은데 그게 아니라면 시장이 정말로 바뀐거겠죠,1
1743,2023-02-08,SK하이닉스,와 진짜 엄청 오르네 배가 마이 아파 그러나 축하는 한다 깐부자나,1
1744,2023-02-08,SK하이닉스,최대 수혜주는 반도체 미 서부 광산 개발시 최고 돈 마니 번 회사는 청바지 회사,1
1745,2023-02-08,SK하이닉스,적자라고 안티하는 넘들 어디갔냐 일 안 하냐,1
1746,2023-02-08,SK하이닉스,뚫어보잣 가즈아,1
1747,2023-02-08,SK하이닉스,고가선 하방,1
1748,2023-02-08,SK하이닉스,이거 왜오르냐 이유가 뭐고,1
1749,2023-02-08,SK하이닉스,대형호재 오늘부터 만까지 갑니다,1
1750,2023-02-08,SK하이닉스,대형호재 하이가 설마,1
1751,2023-02-08,SK하이닉스,무슨 평단 원 다와간다 욕심나게 만드네 만까지 가는거,1
1752,2023-02-08,SK하이닉스,원오냐 평단 나보다 높은사람있으려나젠장할 하이닉스 언제 풀어주려나,1
1753,2023-02-08,SK하이닉스,머선일이고 구원해주네,1
1754,2023-02-08,SK하이닉스,형들 내평단 인데 평단 인데 어디까지 갈꺼같아익절하기에는 뭔가 아쉬운데,1
1755,2023-02-08,SK하이닉스,싸이클 반도체 싸이클이라는게 제법 길 것 같은데 흠,1
1756,2023-02-08,SK하이닉스,에 개다 지긋지긋하다,1
1757,2023-02-08,SK하이닉스,원 찍을 수 있겠죠,1
1758,2023-02-08,SK하이닉스,영차영차 느그들 머하노 물안타고,1
1759,2023-02-08,SK하이닉스,물타기 불타기 기회다 멀꾸물거리나 오늘이 가장 빠를때야,1
1760,2023-02-08,SK하이닉스,아 기분 딱 조타 응디,1
1761,2023-02-08,SK하이닉스,드디어,1
1762,2023-02-08,SK하이닉스,나보다 평단 높은 사람 내 평단 원,1
1763,2023-02-08,SK하이닉스,뚫었구나 안착만 한다면 만원까지는 하이패스구간 이구나,1
1764,2023-02-08,SK하이닉스,영차 영차 곧 평단이다 영차 영차 물론 평단와도 안판다 목표가 만이다 어차피 물려있던거 좀 더 물린다고 차이있나,1
1765,2023-02-08,SK하이닉스,오늘 상승 이유 내일이 옵션 만기일 다른 이유 없다,1
1766,2023-02-08,SK하이닉스,전고점 뚫겠다 전군 진격하라,1
1767,2023-02-08,SK하이닉스,하이닉스 이제 조금 정상궤도레 올라오는것 같은데 앞으로 계속 주욱 올라갈것같은 이기분아 좋타계속 가그래이난 계속 담구고 있을께 느긋하게 니네들도 담궈봐라 느낌 조아 조아 아주 조아,1
1768,2023-02-08,SK하이닉스,오 하이닉스 이름답게 하이 빨리 내 평단 만원 만들어놔라,1
1769,2023-02-08,SK하이닉스,우와 뭐냐 이거,1
1770,2023-02-08,SK하이닉스,이거 잘가네 일전 만 깨지길래 매수했는데 치킨값 나왔다 가즈아,1
1771,2023-02-08,SK하이닉스,하락닉스 거 돈 됩니까,1
1772,2023-02-08,SK하이닉스,저는 이거 못믿겠어요 왜 오르는지 는 이제 끝물 같아요,1
1773,2023-02-08,SK하이닉스,매도가 얼마가 좋을까요 수익실현하고 다시 잡을려구요오늘 이금액이 고점인가요 주만 정리좀 할려구요,1
1774,2023-02-08,SK하이닉스,도대체 어디서 잡았길레 아직 마이너스 인거냐 나란 녀석은 참,1
1775,2023-02-08,SK하이닉스,원 찍고 조정받고 파동그리며 올라갈듯,1
1776,2023-02-08,SK하이닉스,만은 걍 뚫을듯 가즈아,1
1777,2023-02-08,SK하이닉스,만은 걍 뚫을듯 설레발 천천히 유구리 유구리,1
1778,2023-02-08,SK하이닉스,일단 만까지 가겠네요 상승기원,1
1779,2023-02-08,SK하이닉스,제발 만 천 넘길 부탁드립니다,1
1780,2023-02-08,SK하이닉스,역시 존버는 승리한다 존버했더니 에 반도체에 차전지까지 도와주네 역시 워렌 버핏 선생님 말씀듣길 잘했어,1
1781,2023-02-08,SK하이닉스,미래기술에서 반도체 빠지는게 있냐 메인이다 주가되야하는거야 배터리 개발이야 끽해봐야 자동차인데 반도체는 무궁무진하다,1
1782,2023-02-08,SK하이닉스,이러다가 내 평단만 오면 떨어짐 평단 층,1
1783,2023-02-08,SK하이닉스,사상최대의 개미탈출쑈,1
1784,2023-02-08,SK하이닉스,당분간 쭉 상승세일듯 매수매수,1
1785,2023-02-08,SK하이닉스,형이 뭐라했냐 야가 지수 끌고갈거라했다 늦지않았다 올라타라,1
1786,2023-02-08,SK하이닉스,층 까지는 무난할걸 외인이 끌고 기관이 미네,1
1787,2023-02-08,SK하이닉스,변곡점 매도타이밍 매도라인 고가선 저항 주식고수비법,1
1788,2023-02-08,SK하이닉스,그거암 지금 최저점임 매수 폭탄 물량시작,1
1789,2023-02-08,SK하이닉스,다시 사야 하나 원에 익절하고 저점 매수 기다리다 목 빠지긋다 역시 주식은 예상과 반대로 움직이는 경우가 많구나 근디 급할거 없지 좀더 기다려 볼란다,1
1790,2023-02-08,SK하이닉스,그는 갓 최저점 매수기회,1
1791,2023-02-08,SK하이닉스,차트참더럽네 올리는차트인가 물리는친트인가,1
1792,2023-02-08,SK하이닉스,느긋하게 세월이 약 자근자근,1
1793,2023-02-08,SK하이닉스,제가 최근에 산 종목인데 엔터 종목 아센디오 인데오전에 밀었다가 오후에 올리고 최근에 거래량 터져서 누군가 매집하는게 아닌지 중국 한학령 풀리면 배는 누가 본다고 해서 샀는데 우리가 돈 벌자구요,1
1794,2023-02-08,SK하이닉스,올렸다가 내렸다가 갈피를 못잡네요 전 올해 꾸준히들고갑니다,1
1795,2023-02-08,SK하이닉스,이번주 만 넘어갈듯 전자보단 높아야지,1
1796,2023-02-08,SK하이닉스,주식 한다는 놈들이 아직도 디비 자고 있어 기상 기사아아아앙,1
1797,2023-02-08,SK하이닉스,오늘은 만 천원을 넘을수있을까,1
1798,2023-02-08,SK하이닉스,시초에 쫙 오르면 털고 나가는거 알지,1
1799,2023-02-08,SK하이닉스,나스닥 폭등 나스닥 폭등 우리 증시 본격 질주,1
1800,2023-02-07,SK하이닉스,아 큰일났유 스튜디오 미르 스튜디오드래곤 만돌파 하게 생겼유 추카추카 화이팅,1
1801,2023-02-07,SK하이닉스,초급등했네,1
1802,2023-02-07,SK하이닉스,선 봐라 내일 하한이닷,1
1803,2023-02-07,SK하이닉스,만닉스 가즈아 만에 주 가까이 때려 박았는데 차전지 믿습니다 올해 만닉스 찍게 해주세욧 떡상 가즈아 우효오오오오오오,1
1804,2023-02-07,SK하이닉스,주식은 어렵다 그냥 부동산해라 우리나라는 부동산이 답이다 솔직히 나같은 사람만 겨우 돈버는거지,1
1805,2023-02-07,SK하이닉스,아래위로 흔들흔들 개미만 후두둑 목표하신대로 장투하세요,1
1806,2023-02-07,SK하이닉스,코스닥 급등 차트 떴다 코스닥 주봉 급등 차트 떴다 이젠 여윳돈으로 코스닥도 해라,1
1807,2023-02-07,SK하이닉스,외쿡오빠 시간없엉 팍팍 줍줍 해주때엽,1
1808,2023-02-07,SK하이닉스,에코프로 던지고 일루와,1
1809,2023-02-07,SK하이닉스,하이닉스는 어제 빠진 것 거의 복구이다 근데 삼전은 종가에 원 빼더니 올라야 어재가인데 씨부레 도 못 오르니,1
1810,2023-02-07,SK하이닉스,늦기전에 통합 번역 플랫폼 업체플리토플랫폼을 통해 수집된 말뭉치 코퍼스 를집단지성 및 검수 과정을 거쳐 정제한 후이러한 언어 데이터를 필요로 하는 국가 연구기관또는 산 업 내 다양한 기업고객 등에게 판매하는 사업 영위 또한 언어데이터를 수집하기 위해 구축된 당사의 플랫폼을 통해 다양한 컨텐츠 관련 서비스 제공 스피커 챗 전자상거래 엔터테인먼트 자동차 여행 및 숙박 요식업 헬스케어 등다양한 산업군으로 구성된글로벌 언어데이터 수요 기업에 판매,1
1811,2023-02-07,SK하이닉스,먹은 오브젠 상항가 간다 잡아라 주 근데 내가 던진 것이라 욕심이 과하면 체하는 법 감사 감사 오브젠도 곧 날아갈 듯 다시 주 하닉스 잡았음,1
1812,2023-02-07,SK하이닉스,년넘게 유튜브 증권방송보는데 진짜 남는게 도없는듯 그냥 멘탈관리해주고 회원가입 유도하고 책파는곳,1
1813,2023-02-07,SK하이닉스,어제 종가에 주 사서 만원 냠냠 삼겹살 사먹을라고 했는데 꽃등심사다가 구워먹어야겠다 힝,1
1814,2023-02-07,SK하이닉스,반도체 생각보다 더 빨리 반등할수있다 는 엄청난 이슈이고 반도체 먹는 하마다,1
1815,2023-02-07,SK하이닉스,개미들은 텨라 난 버틸란다 쭈우 욱,1
1816,2023-02-07,SK하이닉스,년뒤에보자 저기 멀리 위에있을꼬야,1
1817,2023-02-07,SK하이닉스,반도체는 미래다 가즈아,1
1818,2023-02-07,SK하이닉스,존버 존버는 승리한다,1
1819,2023-02-07,SK하이닉스,피엔에이치테크 이야 업업,1
1820,2023-02-07,SK하이닉스,만원까진 무조건 감 그냥묻어두면된다 돈많은사람들 부럽다 더 못사는게 한이네,1
1821,2023-02-07,SK하이닉스,만원 밑으로 떨어지면 다시 살려고 기다리고 있슴다,1
1822,2023-02-07,SK하이닉스,장난에 미치겠다 글의장난 돌겠네,1
1823,2023-02-07,SK하이닉스,이제 하닉은 내릴일은 없다 적자 시원하게 찍었으니 무슨 뉴스로 내리겠냐 그냥 묻어두면된다 주식 년차 고수의 조언이니 새겨듣도록,1
1824,2023-02-07,SK하이닉스,하닉스 삼전 한기 부젠에서 최소 수익 하닉스도 주 던졌다 매수 삼전도 주 수익 후 던졌다 매수한기는 주 그냥 보유 수익중 오브젠은 주 익절 후 던짐 한 주 사이 장 이상 챙김 이제 여윳돈 억으로 테마 흐름주 억 정도씩 밥값은 하야정,1
1825,2023-02-07,SK하이닉스,이야 피엔에이치테크 이야 내말듣고 온사람 소리질러,1
1826,2023-02-07,SK하이닉스,흐미 엊그제 오브젠 에서 수익 후 주를 어제 로 매도 걸어놨는데 안팔려서 오늘 아침에 오르고해서 로 던졌네 오늘도 상갈 것 같 음 별꼴이야 현재 상승 중 하닉스 주 보유 삼전 주 한기 주 보유 좀 먹어 네여 억 정도 오브젠에서 억소리나게 먹엇음,1
1827,2023-02-07,SK하이닉스,짤짜리 피엔에이치테크 촛불잔치중,1
1828,2023-02-07,SK하이닉스,오늘 찍것네,1
1829,2023-02-07,SK하이닉스,반도체 떨어짐 하락,1
1830,2023-02-07,SK하이닉스,재고는 점점 쌓이고 환율은 개폭등 분위기 쎄하다잉,1
1831,2023-02-07,SK하이닉스,다우 지수 양전 니들 죽다 살았다,1
1832,2023-02-07,SK하이닉스,한국주식 파악했다 두달 흐르고 한달 오르고 반복 지난달 잘 팔았다 또 기다려보자 얘두라,1
1833,2023-02-07,SK하이닉스,어 조땠네 만 또 가는거냐,1
1834,2023-02-06,SK하이닉스,시총 조에 적자회사 적정가 만원,-1
1835,2023-02-06,SK하이닉스,자이제 폭포수다 만원대도 복귀 정답이네요,-1
1836,2023-02-06,SK하이닉스,하이닉스 원간다 년후에 하이닉스 원간다 걱정하지 말자,-1
1837,2023-02-06,SK하이닉스,와 나선 마이크론 폭락중 내일은 최소 마,-1
1838,2023-02-06,SK하이닉스,기관 패대기 어쩐지 잘간다했어,-1
1839,2023-02-06,SK하이닉스,조금만 버티면 만원정돈 곧 옵니다 년만 버티면 만원 정도는 곧 옵니다 년안에 코로나 보다 더 무서운 전염병 한번더 안오겠어요,-1
1840,2023-02-06,SK하이닉스,그래서 대체 만원 언제 가는데 년 월 일 만원에 물렸다 그래서 대체 언제 만원 가는데 년이 다 되어가는데반도체가 미래인거 맞냐,-1
1841,2023-02-06,SK하이닉스,원에 주 담궜습니다 낼 오르면 팔아서 고기 사먹을꺼공 낼 폭락하면 주 더 담을게용 총 주 살수있는데 만원까지 내려도 괜찮습니다 마음이 푸근하네용,-1
1842,2023-02-06,SK하이닉스,또 곡소리 글 밖에 없네 환율떨어져 매수 들어왔을때는 환호 환율 올라 패대기치니까 곡소리 그냥 반도체는 지금 부터 조금씩 사,-1
1843,2023-02-06,SK하이닉스,미국 물가 둔화됐다 이번달 미국 물가 상승률예상 저번달 상승률에서 하락률 급격히 둔화 전달비는 상승으로 작년이래 역대급 상승률 주가 폭락 랠리시작,-1
1844,2023-02-06,SK하이닉스,환율 원 넘으면 하닉에게 좋아요 나쁩니까 어떤 유투버는 좋다고 하고 다른 분은 하닉에게 큰 악재라고 해서,-1
1845,2023-02-06,SK하이닉스,평단가 만부터는 평생 평단가 안올지도 몰라 만대까지는 탈출가능,-1
1846,2023-02-06,SK하이닉스,만원 기다릴게 또 만 천원 매도할게,-1
1847,2023-02-06,SK하이닉스,이건 떨어질때는 만원짜리 떨어지는금액으로 떨어지고 오를때는 쪼금 오르고 언제 만가나,-1
1848,2023-02-06,SK하이닉스,평단가 만 천 죽고싶다,-1
1849,2023-02-06,SK하이닉스,평단가 만 천 년만기다려,-1
1850,2023-02-06,SK하이닉스,하닉 답 없네,-1
1851,2023-02-06,SK하이닉스,연기금 주식못하게 국회에서 입법해라 왜 코스피 코스닥 고점부근에서만 매집하냐 진짜 외국인들 돈벌어가라고 아주 등떠미네 최근에 삼천리도 고점에서 사더만 이번엔 반도체가 뜨는거같으니 하이닉스 이 가격주고 들어온다고 장기투자라도 하면 이해라도하지 떨어지면 또 손절한다고 열심히 팔아제끼잖아,-1
1852,2023-02-06,SK하이닉스,에 손절한 나 자신 칭찬해 행복하다 좀 있다 다시 살게,-1
1853,2023-02-06,SK하이닉스,손가락 놀리지 말고 그냥 있어 개미는 그게 돈 버는거야 나는 저번에 좀 덜 먹고 나왔는데 마음은 편함,-1
1854,2023-02-06,SK하이닉스,일선 이탈하면 여름 쯤에 다시 들어오세요 시간 여유있는 나는 묻어둡니다,-1
1855,2023-02-06,SK하이닉스,개미 털기였나 손절친사람들 우째,-1
1856,2023-02-06,SK하이닉스,외인이 개미 꼬시고 나서 물량넘기기 시작 지금은 아니라니까,-1
1857,2023-02-06,SK하이닉스,행복합니다,-1
1858,2023-02-06,SK하이닉스,바닥 나왔다,-1
1859,2023-02-06,SK하이닉스,하이닉스매출 큰 호재하나있네요 바로 제가 방금전에 하나 샀다는겁니다,-1
1860,2023-02-06,SK하이닉스,과연 내일은 지금 개미만 쓸어 담고 있는것으로 봐서는 앞으로 며칠간 깊은 조정이 나올듯 하다 만 중반 지지 되는지 확인해야 할듯,-1
1861,2023-02-06,SK하이닉스,쉬는것도 수익이다 그냥 쉬어라 제일 어려운게 손절이다,-1
1862,2023-02-06,SK하이닉스,흐미 훅 가네 줍줍해야지모,-1
1863,2023-02-06,SK하이닉스,도돌이표 팔만닉스,-1
1864,2023-02-06,SK하이닉스,대박 누가 주산겨,-1
1865,2023-02-06,SK하이닉스,조정받아야지 단기간 너무 급등했어요일단 원대는 가보고,-1
1866,2023-02-06,SK하이닉스,자고로 하닉 자앗이네,-1
1867,2023-02-06,SK하이닉스,만원 깨지면 사라 너무비싸다,-1
1868,2023-02-06,SK하이닉스,역시 내가사니 떨어지내 하지만 퍼 수익을자랑하는 나이기에 상관없다,-1
1869,2023-02-06,SK하이닉스,에 물린 분들 손 그 손으로 대갈텅 쾅쾅,-1
1870,2023-02-06,SK하이닉스,많이 떨어졌구나 아이구 어쩌냐예금 이자 먹을려다예금이자 만큼 날렸네,-1
1871,2023-02-06,SK하이닉스,만될가 만에서 기다려요,-1
1872,2023-02-06,SK하이닉스,원은 되야 반등할듯,-1
1873,2023-02-06,SK하이닉스,오늘 짜 무너지고 끝나것다 스브랄,-1
1874,2023-02-06,SK하이닉스,와 아 전자 존나 부랍네,-1
1875,2023-02-06,SK하이닉스,의 벽은 높다 만 버텨줄라나,-1
1876,2023-02-06,SK하이닉스,오늘도 하락하는 이유 지수 하락의 주범인듯 회장님 좀 갬님들을 적당히 잡아드시우,-1
1877,2023-02-06,SK하이닉스,만 은 지키네 굿,-1
1878,2023-02-06,SK하이닉스,하닉 좀 올라가라,-1
1879,2023-02-06,SK하이닉스,털어 버린건 신의 한수 였네 근데 왜 지금도 드가기가 싫으냐 우선 만 깨지는거 보자,-1
1880,2023-02-06,SK하이닉스,오늘종가,-1
1881,2023-02-06,SK하이닉스,정신들차려 지금은 아니다,-1
1882,2023-02-06,SK하이닉스,싸늘하다 비수가 날아와 꽂힌다,-1
1883,2023-02-06,SK하이닉스,거지같네 일프로올리기 진짜힘든데 프로는 쑥쑥빼네,-1
1884,2023-02-06,SK하이닉스,더사고싶은대 시드읍다 버티자 오늘 화이팅,-1
1885,2023-02-06,SK하이닉스,안돼 으아아아,-1
1886,2023-02-06,SK하이닉스,저점깨러 츨발 당려,-1
1887,2023-02-06,SK하이닉스,개미 꼬시기 끝났다 이제부터 쭈욱 하락이다,-1
1888,2023-02-06,SK하이닉스,만닉스 진입 축하 축하,-1
1889,2023-02-06,SK하이닉스,적당히 팔고나오는게 좋겠죠 신용좀 껴서 들고있는데 적당히 팔고 나오는게 좋겠죠 이자고 비싸고 혹시나 싶어서,-1
1890,2023-02-06,SK하이닉스,반등하는척하면서 내리꽂네 들어오는순간 물리는거다,-1
1891,2023-02-06,SK하이닉스,증권사가 목표가 상향 기사 뜨면매도 신호 주는거다 바로 팔고 떠라,-1
1892,2023-02-06,SK하이닉스,이거 언제 만 가나,-1
1893,2023-02-06,SK하이닉스,전쟁 경제 미래 녹십자 수혜주 폭등예상,-1
1894,2023-02-06,SK하이닉스,음 오늘 대충 프로 빠지겟는데,-1
1895,2023-02-05,SK하이닉스,저만의 생각 한국 반도체 위기 한국 반도체가 다른 국가들의 반도체 기업들을 이기고 선두에서서 오랜시간 기득권을 누렸습니다 그런데 이제는 한국 반도체가 경쟁상대들을 무너트리며 올라왔듯이 가 한국 반도체가 경쟁자들을 꺽으며 올라왔던것처럼 한국 반도체를 앞질러가고 있습니다 가 한국 반도체를 앞질렀다는 증거들이 여러곳에서 보이는데도 애써서 한국 반도체가 건제하다고 금융마바라들은 떠들어대고 있습니다 반도체사업은 어느시간동안 등자리를 빼앗기면 그 아래 순위의 기업들은 경쟁에서 상당히 불리한 상황에 직면합니다 한국 반도체가 해왔던것처럼 이제 가 한국반도체를 누르고 올라가고 있는것이며 한국반도체도 일본반도체나 다른 국가들의 반도체기업들처럼 서서히 힘을 잃어갈것입니다 삼성전자니까 삼성전자에는 이미 노조가 생겼습니다 창의적이고 진취적이어야하는 업종 특성상 삼성전자의 노조가 생긴것은 이전처럼 창위적이지도 진취적이지도 않은 삼성전자가 될수밖에 없습니다 그래서 더욱 한국 반도체의 미래는 암울합니다 언제까지 국뽕에 취해서 가 이미 등임을 외면할수 있다는 말입니까,0
1896,2023-02-03,SK하이닉스,만 닉스 언제 오냐 너무 기대된다,-1
1897,2023-02-03,SK하이닉스,나스닥 선물 수직 낙하중 니들 조 오 옷 뗐다,-1
1898,2023-02-03,SK하이닉스,현재 나스닥 선물 니들 조 오 옷 뗐다 하이닉스 등급전망 부정적 하향 조정 입력 장현주 기자 남자다,-1
1899,2023-02-03,SK하이닉스,떨어쪘네,-1
1900,2023-02-03,SK하이닉스,직원분들 축하드립니다 보너스 받고 주식도 싸게받고 굿,-1
1901,2023-02-03,SK하이닉스,원이 그렇게 좋니 그냥 종가에 원찍어 왔다갔다 어지럽다,-1
1902,2023-02-03,SK하이닉스,코리아 잡주 적당히 조정해라 이러니까 코리아 욕먹지,-1
1903,2023-02-03,SK하이닉스,눈에보이게 조정하네 적당히좀 해라,-1
1904,2023-02-03,SK하이닉스,올라가네요 지난주 부터 이야기한 종목이 엔터종목 아센디오 입니다 제가 저번주 부터 열심히 알렸더니거래량이 붙으면서 올라가네요 저는 수익 중인데 계속 더 사 보려고 합니다 관심 가져 보세요이제 올라가기 시작하는 종목이라 중국시장 열리면 지금보다 배는 갈꺼라고 봅니다,-1
1905,2023-02-03,SK하이닉스,외인 의견 목표가 만원그럼 지금뭐다,-1
1906,2023-02-03,SK하이닉스,십만원 좀 넘기자 현기증 난다,-1
1907,2023-02-03,SK하이닉스,원에 꿀발라놨냐 고정시키려고 하네,-1
1908,2023-02-03,SK하이닉스,내가 말했지 하닉스는 뒤가 깨끗해 한방 쏠거야 곧 보합온다 저점에 비해 엄청 양호 보합오면 박수쳐라,-1
1909,2023-02-03,SK하이닉스,연기금이 매수하는데 떨어지면 곤란한데 저점을 지지하는 매수인가 힘 더 내라 개미,-1
1910,2023-02-03,SK하이닉스,오늘 개월만에 고장 퉤 하이닉스 절대 안산다 퉤,-1
1911,2023-02-03,SK하이닉스,저만의 생각 반도체 치킨게임 삼성전자의 현재 재고는 조원이 넘습니다 기관과 외인들은 희망가를 지들 마음대로 부르짖으며 삼성전자를 원까지 끌어올렸습니다 기관이 작사하고 외인이 작곡한 삼성전자 희망가가 그 노래의 가사처럼 안된다면현재 조원인 넘는 삼성전자의 재고는 어떻게 될것 같습니까 거기에 더해 삼성전자는 물량을 인위적으로 줄이지 않겠다고 말했습니다 자신감이라고 말하는 분들도 많으신데 그건 반도체 치킨게임도 불사하겠다는 의지를 말한겁니다 옛날 반도체 치킨게임에 수많은 기업들이 사라지거나 매각되었습니다 하이닉스는 원래 현대기업의것이었으며 반도체 치킨게임에 처철하게 만신창이가 된 하이닉스를 가 인수했던것입니다 현대가 하이닉스를 유지하기위해 그 시절 감자며 유상증자를 쳐해대며 버티고버티다가 매각한것입니다 반도체 전쟁은 무서운것입니다 그 전쟁이 발발되면 하이닉스는 끝장날수도 있습니다 하이닉스가 반도체치킨게임에서 코너에 몰린다면 안그래도 기업정신이 썩은 가 무슨짓을 하겠습니까 유상증자 물적분할 감자 인용가능한 모든 편법들이 총동원될것입니다,-1
1912,2023-02-03,SK하이닉스,임직원한테 를퍼주누 적잔데 돈도많아 돈아껴야지,-1
1913,2023-02-03,SK하이닉스,일선 타고 잘가네 만은 올해 넘겠네,-1
1914,2023-02-03,SK하이닉스,많이 왔다만 시간읍따 빨리가즈아,-1
1915,2023-02-03,SK하이닉스,개인들아 정신차려 하닉스는 한번 쎄게 꼬라박는다 이걸 지금 왜사니,-1
1916,2023-02-03,SK하이닉스,이 잣가튼거 대형주 유일한 파랭이네,-1
1917,2023-02-03,SK하이닉스,건강한 조정이다 원까지 건강한 조정 좀,-1
1918,2023-02-03,SK하이닉스,개관 시원하이 팔아치우네 다팔고 꺼지소,-1
1919,2023-02-03,SK하이닉스,내가 뭐라 캤노 오늘 원까지 떨어질끼라 했제 지금이라도 퍼뜩 파라삐라,-1
